misty	"groove" holmes	7/16/66 Prestige	
you don’t want my love	andy williams	cadence	1389
toby	angee griffin	Luke Skyywalker	111
ain't gonna eat out my heart anymore	angel	Casablanca	914
that magic touch	angel	Casablanca	878
holdin' out for love	angela bofill	Arista	0662
i just wanna stop	angela bofill	Capitol	44169
i'm on your side	angela bofill	Arista	9109
something about you	angela bofill	Arista	0636
this time i'll be sweeter	angela bofill	Arista/GRP	2500
tonight i give in	angela bofill	Arista	1060
too tough	angela bofill	Arista	1031
what i wouldn't do (for the love of you)	angela bofill	Arista/GRP	2503
inner city blues	angela winbush	Noo Trybe	38552
run to me	angela winbush	Warner	8249
lay your troubles down	angela winbush (duet with ronald isley)	Mercury	875430
angel baby	angelica	Quality	15171
reach for the moon (poor people)	angelo bond	ABC	12077
'til	angels	Caprice	107
cry baby cry	angels	Caprice	112
i adore him/thank you and goodnight	angels	Smash	1854
my boyfriend's back	angels	Smash	1834
wow wow wee (he's the boy for me)	angels	Smash	1870
light of love	angie and debbie	Capitol	44953
anything	animals	MGM	13917
boom boom	animals	MGM	13298
bring it on home to me	animals	MGM	13339
don't bring me down	animals	MGM	13514
don't let me be misunderstood	animals	MGM	13311
gonna send you back to walker	animals	MGM	13242
help me girl	animals	MGM	13636
i'm crying	animals	MGM	13274
inside-looking out	animals	MGM	13468
it's my life	animals	MGM	13414
monterey	animals	MGM	13868
san franciscan nights	animals	MGM	13769
see see rider	animals	MGM	13582
sky pilot (parts 1 & 2)	animals	MGM	13939
the house of the rising sun	animals	MGM	13264
the night	animals	I.R.S.	9920
we gotta get out of this place	animals	MGM	13382
when i was young	animals	MGM	13721
white houses	animals	MGM	14013
calling it love	animotion	Polydor	889054
i want you	animotion	Casablanca	884729
let him go	animotion	Mercury	880737
obsession	animotion	Mercury	880266
room to move	animotion	Polydor	871418
angel	anita baker	Beverly Glen	2011
body & soul	anita baker	Elektra	64520
caught up in the rapture	anita baker	Elektra	69511
fairy tales	anita baker	Elektra	64910
giving you the best that i got	anita baker	Elektra	69371
i apologize	anita baker	Elektra	64497
it's been you	anita baker	Elektra	64448
just because	anita baker	Elektra	69327
lead me into love	anita baker	Elektra	69299
no one in the world	anita baker	Elektra	69456
same ole love (365 days a year)	anita baker	Elektra	69484
soul inspiration	anita baker	Elektra	64935
sweet love	anita baker	Elektra	69557
talk to me	anita baker	Elektra	64964
watch your step	anita baker	Elektra	69554
you're the best thing yet	anita baker	Beverly Glen	2013
a texan and a girl from mexico	anita bryant	Carlton	538
do-re-mi	anita bryant	Carlton	523
in my little corner of the world	anita bryant	Carlton	530
one of the lucky ones	anita bryant	Carlton	535
paper roses	anita bryant	Carlton	528
six boys and seven girls	anita bryant	Carlton	518
the world of lonely people	anita bryant	Columbia	43037
till there was you	anita bryant	Carlton	512
wonderland by night	anita bryant	Carlton	537
overnight success	anita pointer	RCA	5291
ring my bell	anita ward	juana	3422
have fun	ann cole	Roulette	4452
get a life	ann g.	Atlantic	87582
if she knew	ann g.	Atlantic	88933
(you keep me) hangin' on	ann peebles	Hi	2265
breaking up somebody's home	ann peebles	hi	2205
give me some credit	ann peebles	Hi	2165
i can't stand the rain	ann peebles	hi	2248
i pity the fool	ann peebles	hi	2186
i'm gonna tear your playhouse down	ann peebles	Hi	2232
part time love	ann peebles	hi	2178
slipped, tripped and fell in love	ann peebles	Hi	2198
somebody's on your case	ann peebles	Hi	2219
walk away	ann peebles	Hi	2157
wind in the willow	ann reynolds	kapp	179
you're gonna miss me	ann sexton	77 Records	133
the best man in the world	ann wilson	capitol	5654
surrender to me	ann wilson and robin zander	capitol	44288
i just don't understand	ann-margret	RCA	7894
it do me so good	ann-margret	RCA	7952
what am i supposed to do	ann-margret	RCA	7986
if somebody told you	anna king	stax	0147
baby baby baby	anna king-bobby byrd	smash	1858
a little good news	anne murray	capitol	5264
another sleepless night	anne murray	capitol	5083
blessed are the believers	anne murray	capitol	4987
broken hearted me	anne murray	capitol	4773
could i have this dance	anne murray	capitol	4920
danny's song	anne murray	capitol	3481
day tripper	anne murray	capitol	4000
daydream believer	anne murray	capitol	4813
i just fall in love again	anne murray	capitol	4675
i say a little prayer/by the time i get to phoenix	anne murray	capitol	3200
it's all i can do	anne murray	capitol	5023
just one look	anne murray	capitol	3955
love song	anne murray	capitol	3776
lucky me	anne murray	capitol	4848
send a little love my way	anne murray	capitol	3648
shadows in the moonlight	anne murray	capitol	4716
sing high - sing low	anne murray	capitol	2988
snowbird	anne murray	capitol	2738
sunday sunrise	anne murray	capitol	4142
talk it over in the morning	anne murray	capitol	3159
the call	anne murray	capitol	4207
walk right back	anne murray	capitol	4527
what about me	anne murray	capitol	3600
you needed me	anne murray	capitol	4574
you won't see me	anne murray	capitol	3867
lay down your arms	anne shelton	columbia	40759
first name initial	annette	Vista	349
how will i know my love	annette	Disneyland	102
jo-jo the dog-faced boy	annette	Vista	336
lonely guitar	annette	Vista	339
o dio mio	annette	Vista	354
pineapple princess	annette	Vista	362
talk to me baby	annette	Vista	369
tall paul	annette	Disneyland	118
train of love	annette	Vista	359
get your thing together	annette snell	Dial	1025
you oughta' be here with me	annette snell	Dial	1023
first name initial	annette with the afterbeats	Buena Vista	349
if you're lonely	annie laurie	DeLuxe	6189
little bird	annie lennox	arista	2508
put a little love in your heart	annie lennox	a&m	1255
walking on broken glass	annie lennox	arista	2452
why	annie lennox	arista	2419
iesha	another bad creation	Motown	2070
jealous girl	another bad creation	Motown	2134
playground	another bad creation	Motown	2088
deeply	anson williams	chelsea	3061
what you deserve	answered questions	EMI	50304
do you mind?	anthony newley	london	1918
if she should come to you	anthony newley	london	1929
pop goes the weasel	anthony newley	london	9501
the third man theme	anton karas	london	536
living in oblivion	anything box	Epic	73231
gangsta bitch	apache	Tommy Boy	541
joy	apollo 100	Mega	0050
mendelssohn's 4th (second movement)	apollo 100	Mega	0069
sex shooter	apollonia 6	Warner	29182
bony moronie	appalachians	ABC Paramount	10419
what do you know about love	apple & appleberry	ABC	11415
bunny hop	applejacks	Cameo	158
mexican hat rock	applejacks	Cameo	149
rocka-conga	applejacks	Cameo	155
wake up and love me	april	A&M	1528
bad side of the moon	april wine	Big Tree	142
enough is enough	april wine	Capitol	5133
i like to rock	april wine	Capitol	4828
just between you and me	april wine	Capitol	4975
roller	april wine	Capitol	4660
sign of the gypsy queen	april wine	Capitol	5001
this could be the right one	april wine	Capitol	5319
you could have been a lady	april wine	Big Tree	133
you	aquatones	Fargo	1001
a symphony for susan	arbors	Date	1529
graduation day	arbors	Date	1561
i can't quit her	arbors	Date	1645
the letter	arbors	Date	1638
election day	arcadia	Capitol	5501
goodbye is forever	arcadia	Capitol	5542
mr. grillon	archibald players	Arch	1606
any time is right	archie bell	Becket	45-4
a world without music	archie bell & the drells	Atlantic	2768
ain't nothing for a man in love	archie bell & the drells	Glades	1711
dancing to your music	archie bell & the drells	Glades	1707
do the choo choo	archie bell & the drells	Atlantic	2559
girl you're too young	archie bell & the drells	Atlantic	2644
i can't stop dancing	archie bell & the drells	Atlantic	2534
i could dance all night	archie bell & the drells	TSOP	4767
i love my baby	archie bell & the drells	Atlantic	2612
let's groove	archie bell & the drells	TSOP	4775
let's groove (part 1)	archie bell & the drells	TSOP	4775
love will rain on you	archie bell & the drells	Atlantic	2583
my balloon's going up	archie bell & the drells	Atlantic	2663
strategy	archie bell & the drells	Philadelphia I.	3710
the soul city walk	archie bell & the drells	TSOP	4774
there's gonna be a showdown	archie bell & the drells	Atlantic	2583
tighten up	archie bell & the drells	Atlantic	2478
wrap it up	archie bell & the drells	Atlantic	2768
hernando's hideaway	archie bleyer	Cadence	1241
bang-shang-a-lang	archies	Calendar	1006
feelin' so good (s.k.o.o.b.y-d.o.o)	archies	Calendar	1007
jingle jangle	archies	Kirshner	5002
sugar sugar	archies	Calendar	1008
sunshine	archies	Kirshner	1009
who's your baby?	archies	Kirshner	5003
eefananny	ardells	Epic	9621
(no no) i'm losing you	aretha franklin	columbia	43333
(sweet sweet baby) since you've been gone	aretha franklin	atlantic	2486
(you make me feel like) a natural woman	aretha franklin	Uptown/MCA	55134
a natural woman (you make me feel like)	aretha franklin	atlantic	2441
ain't no way	aretha franklin	atlantic	2486
ain't nobody ever loved you	aretha franklin	Arista	9474
ain't nothing like the real thing	aretha franklin	atlantic	3200
all the king's horses	aretha franklin	atlantic	2883
almighty fire (woman of the future)	aretha franklin	Atlantic	3468
angel	aretha franklin	atlantic	2969
another night	aretha franklin	arista	9453
baby i love you	aretha franklin	atlantic	2427
border song (holy moses)	aretha franklin	atlantic	2772
brand new me	aretha franklin	atlantic	2796
break it to me gently	aretha franklin	Atlantic	3393
bridge over troubled water	aretha franklin	atlantic	2796
call me	aretha franklin	atlantic	2706
chain of fools	aretha franklin	atlantic	2464
come to me	aretha franklin	arista	0600
cry like a baby	aretha franklin	Columbia	43827
day dreaming	aretha franklin	atlantic	2866
do right woman-do right man	aretha franklin	Atlantic	2386
don't play that song	aretha franklin	atlantic	2751
eleanor rigby	aretha franklin	atlantic	2683
every girl wants my guy	aretha franklin	Arista	9095
everyday people	aretha franklin	Arista	2239
freeway of love	aretha franklin	arista	9354
gentle on my mind	aretha franklin	atlantic	2619
get it right	aretha franklin	arista	9034
honey	aretha franklin	Arista	12743
i can't see myself leaving you	aretha franklin	atlantic	2619
i knew you were waiting (for me)	aretha franklin	arista	9559
i never loved a man (the way i love you)	aretha franklin	atlantic	2386
i say a little prayer	aretha franklin	atlantic	2546
i surrender dear	aretha franklin	columbia	42266
i'm in love	aretha franklin	atlantic	2999
if ever a love there was	aretha franklin	arista	9751
it isn't it wasn't it ain't never gonna be	aretha franklin	arista	9850
it's my turn	aretha franklin	Arista	0646
jimmy lee	aretha franklin	arista	9546
jump	aretha franklin	atlantic	3358
jump to it	aretha franklin	arista	0699
jumpin' jack flash	aretha franklin	arista	9528
ladies only	aretha franklin	Atlantic	3605
lee cross	aretha franklin	Columbia	44181
look into your heart	aretha franklin	atlantic	3373
love all the hurt away	aretha franklin	arista	0624
love me right	aretha franklin	Arista	1023
master of eyes	aretha franklin	atlantic	2941
master of eyes (the deepness of your eyes)	aretha franklin	Atlantic	2941
mockingbird	aretha franklin	columbia	44381
mr. d.j. (5 for the d.j.)	aretha franklin	atlantic	3289
my song	aretha franklin	Atlantic	2574
oh me oh my (i'm a fool for you baby)	aretha franklin	atlantic	2838
one step ahead	aretha franklin	Columbia	43241
operation heartbreak	aretha franklin	Columbia	42157
respect	aretha franklin	atlantic	2403
rock steady	aretha franklin	atlantic	2838
rock-a-bye your baby with a dixie melody	aretha franklin	columbia	42157
rock-a-lott	aretha franklin	arista	9574
runnin' out of fools	aretha franklin	columbia	43113
see saw	aretha franklin	atlantic	2574
share your love with me	aretha franklin	atlantic	2650
sisters are doin it for themselves	aretha franklin	rca	14214
something he can feel	aretha franklin	atlantic	3326
spanish harlem	aretha franklin	atlantic	2817
spirit in the dark	aretha franklin	atlantic	2731
take a look	aretha franklin	columbia	44270
the house that jack built	aretha franklin	atlantic	2546
the weight	aretha franklin	atlantic	2603
think	aretha franklin	atlantic	2518
through the storm	aretha franklin	arista	9809
today i sing the blues	aretha franklin	columbia	41793
tracks of my tears	aretha franklin	Atlantic	2619
united together	aretha franklin	arista	0569
until you come back to me	aretha franklin	atlantic	2995
until you come back to me (that's what i'm gonna do)	aretha franklin	Atlantic	2995
what a fool believes	aretha franklin	Arista	0591
when i think about you	aretha franklin	Atlantic	3418
who's zoomin' who	aretha franklin	arista	9410
wholy holy	aretha franklin	atlantic	2901
willing to forgive	aretha franklin	Arista	12680
with everything i feel in me	aretha franklin	Atlantic	3249
without love	aretha franklin	atlantic	3224
won't be long	aretha franklin	columbia	41923
you	aretha franklin	atlantic	3311
you send me	aretha franklin	atlantic	2518
you're all i need to get by	aretha franklin	atlantic	2787
through the storm	aretha franklin & elton john	Arista	9809
i knew you were waiting (for me)	aretha franklin & george michael	Arista	9559
gimme your love	aretha franklin & james brown	Arista	9884
love all the hurt away	aretha franklin and george benson	Arista	0624
everchanging times	aretha franklin featuring michael mcdonald	Arista	12394
wholy holy	aretha franklin with james cleveland & the southern california community choir	Atlantic	2901
don't play that song	aretha franklin with the dixie flyers	Atlantic	2751
won't be long	aretha franklin with the ray bryant combo	Columbia	41923
it isn't, it wasn't, it ain't never gonna be	aretha franklin/whitney houston	Arista	9850
hold your head up	argent	Epic	10852
tragedy	argent	Epic	10119
the morning of our lives	arkade	Dunhill	4268
i surrender	arlan day	Pasha	02480
the city of new orleans	arlo guthrie	reprise	1103
valley to pray	arlo guthrie	reprise	0951
harem dance	armenian jazz sextet	Kapp	181
really into you	around the way	Atlantic	87427
love and desire (part 1)	arpeggio	Polydor	14535
love and desire (part i)	arpeggio	Polydor	14535
ease my mind	arrested development	Chrysalis	58158
mr. wendal	arrested development	Chrysalis	24810
mr. wendall	arrested development	Chrysalis	24810
people everyday	arrested development	Chrysalis	50397
revolution	arrested development	Chrysalis	24812
