we need a solution	aaliyah ft timbaland	20	6	2001-07-20
aaron's party (come get it)	aaron carter	51	2	2000-10-27
crazy little party girl	aaron carter	7	6	1998-02-06
crush on you	aaron carter	9	11	1997-11-28
i want candy	aaron carter	31	5	2000-09-15
i'm gonna miss you fover	aaron carter	24	5	1998-03-27
leave it up to me	aaron carter	22	4	2002-04-12
surfin' usa	aaron carter	18	5	1998-07-03
don't be afraid	aaron hall	56	2	1992-06-12
get a little faky with me	aaron hall	66	1	1993-10-22
dangerous minds ep.	aaron hall/de vante/sista	35	2	1996-03-29
chocolate	aaron skyy	91	1	2000-06-02
dancin'	aaron smith ft luvli	20	6	2006-01-13
ring ring ring	aaron soul	14	4	2001-06-01
bloody waters	ab-soul/anderson paak/blake	98	1	2018-02-16
this feeling	ab/dc	88	1	2005-03-11
angeleyes / voulez-vous	abba	3	11	1979-07-13
chiquitita	abba	2	9	1979-02-02
dancing queen	abba	1	20	1976-08-20
dancing queen	abba	16	5	1992-09-04
does your mother know	abba	4	9	1979-05-04
don't shut me down	abba	9	8	2021-09-10
fernando	abba	1	15	1976-03-26
gimme gimme gimme	abba	3	12	1979-10-19
head over heels	abba	25	7	1982-02-19
i do i do i do i do i do	abba	38	6	1975-07-11
i have a dam	abba	2	10	1979-12-14
i still have faith in you	abba	14	3	2021-09-10
just a notion	abba	59	1	2021-10-29
knowing me, knowing you	abba	1	13	1977-02-25
lay all your love on me	abba	7	7	1981-07-17
little things	abba	61	3	2021-12-10
mamma mia	abba	1	21	1975-12-12
money, money, money	abba	3	13	1976-01-02
name of the game	abba	1	12	1977-10-21
one of us	abba	3	10	1981-01-02
ring ring	abba	32	5	1974-07-12
sos	abba	6	10	1975-09-19
